Logging to ./logs_PPO_0.0
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.0391     |
|    value_loss           | 2.4e+03     |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 51.9     |
|    ep_rew_mean     | -283     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 16       |
|    time_elapsed    | 7356     |
|    total_timesteps | 2048     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | -283        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 17          |
|    time_elapsed         | 7589        |
|    total_timesteps      | 2176        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.006028098 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 9.12e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.22e+03    |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0313     |
|    value_loss           | 2.48e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53           |
|    ep_rew_mean          | -284         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 18           |
|    time_elapsed         | 7848         |
|    total_timesteps      | 2304         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0069147213 |
|    clip_fraction        | 0.0234       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -8.83e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.06e+03     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.0364      |
|    value_loss           | 1.91e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.2         |
|    ep_rew_mean          | -284         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 19           |
|    time_elapsed         | 8120         |
|    total_timesteps      | 2432         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0072621517 |
|    clip_fraction        | 0.018        |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | 3.1e-06      |
|    learning_rate        | 0.0003       |
|    loss                 | 1.08e+03     |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0334      |
|    value_loss           | 2.5e+03      |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 134         |
|    mean_reward          | -291        |
| time/                   |             |
|    total_timesteps      | 2560        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.004359915 |
|    clip_fraction        | 0.00469     |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -3.64e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.59e+03    |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0256     |
|    value_loss           | 3.27e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53.7     |
|    ep_rew_mean     | -286     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 20       |
|    time_elapsed    | 9147     |
|    total_timesteps | 2560     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.4        |
|    ep_rew_mean          | -284        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 21          |
|    time_elapsed         | 9422        |
|    total_timesteps      | 2688        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.008552384 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -6.5e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.05e+03    |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0334     |
|    value_loss           | 2.01e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.5         |
|    ep_rew_mean          | -280         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 22           |
|    time_elapsed         | 9683         |
|    total_timesteps      | 2816         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0042427466 |
|    clip_fraction        | 0.00391      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -7.39e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.95e+03     |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.027       |
|    value_loss           | 4.11e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | -282        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 23          |
|    time_elapsed         | 9942        |
|    total_timesteps      | 2944        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.009360198 |
|    clip_fraction        | 0.0297      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -5.16e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 840         |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0449     |
|    value_loss           | 1.88e+03    |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 201          |
|    mean_reward          | -181         |
| time/                   |              |
|    total_timesteps      | 3072         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0038964967 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | 6.62e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 2.13e+03     |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.0208      |
|    value_loss           | 3.92e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.8     |
|    ep_rew_mean     | -282     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 24       |
|    time_elapsed    | 11062    |
|    total_timesteps | 3072     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53         |
|    ep_rew_mean          | -283       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 25         |
|    time_elapsed         | 11327      |
|    total_timesteps      | 3200       |
| train/                  |            |
|    adaptive_beta        | 0.5        |
|    approx_kl            | 0.00387632 |
|    clip_fraction        | 0.00625    |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.3      |
|    explained_variance   | -3.56e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 1.69e+03   |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0278    |
|    value_loss           | 3.14e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | -284         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 26           |
|    time_elapsed         | 11589        |
|    total_timesteps      | 3328         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0045297965 |
|    clip_fraction        | 0.00625      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.17e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.25e+03     |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.0247      |
|    value_loss           | 2.73e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.5         |
|    ep_rew_mean          | -286         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 27           |
|    time_elapsed         | 11878        |
|    total_timesteps      | 3456         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0064933253 |
|    clip_fraction        | 0.0156       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -2.79e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.31e+03     |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.0315      |
|    value_loss           | 2.73e+03     |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 200          |
|    mean_reward          | -181         |
| time/                   |              |
|    total_timesteps      | 3584         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0031719352 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | 3.93e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.75e+03     |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.0204      |
|    value_loss           | 3.66e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53.5     |
|    ep_rew_mean     | -285     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 28       |
|    time_elapsed    | 12996    |
|    total_timesteps | 3584     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | -283         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 29           |
|    time_elapsed         | 13263        |
|    total_timesteps      | 3712         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0054179304 |
|    clip_fraction        | 0.0102       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -3.1e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.26e+03     |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.0299      |
|    value_loss           | 2.46e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.8         |
|    ep_rew_mean          | -282         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 30           |
|    time_elapsed         | 13552        |
|    total_timesteps      | 3840         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0056721857 |
|    clip_fraction        | 0.00703      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.28e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.36e+03     |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.0302      |
|    value_loss           | 2.82e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.4        |
|    ep_rew_mean          | -286        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 31          |
|    time_elapsed         | 13816       |
|    total_timesteps      | 3968        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.008371817 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.65e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 2.11e+03    |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0385     |
|    value_loss           | 3.84e+03    |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 201          |
|    mean_reward          | -170         |
| time/                   |              |
|    total_timesteps      | 4096         |
| train/                  |              |
|    adaptive_beta        | 0.5          |
|    approx_kl            | 0.0071881725 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.7e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 972          |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.0334      |
|    value_loss           | 2.33e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53.6     |
|    ep_rew_mean     | -287     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 32       |
|    time_elapsed    | 14926    |
|    total_timesteps | 4096     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.9        |
|    ep_rew_mean          | -288        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 33          |
|    time_elapsed         | 15174       |
|    total_timesteps      | 4224        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.007303507 |
|    clip_fraction        | 0.0242      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.36e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.28e+03    |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0384     |
|    value_loss           | 2.93e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.3       |
|    ep_rew_mean          | -284       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 34         |
|    time_elapsed         | 15437      |
|    total_timesteps      | 4352       |
| train/                  |            |
|    adaptive_beta        | 0.5        |
|    approx_kl            | 0.00790865 |
|    clip_fraction        | 0.0203     |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.3      |
|    explained_variance   | -1.23e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 1.17e+03   |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.0344    |
|    value_loss           | 2.42e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.7        |
|    ep_rew_mean          | -280        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 35          |
|    time_elapsed         | 15719       |
|    total_timesteps      | 4480        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.009749085 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -3.64e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 890         |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0404     |
|    value_loss           | 1.77e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 49          |
|    mean_reward          | -7.43       |
| time/                   |             |
|    total_timesteps      | 4608        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.008977759 |
|    clip_fraction        | 0.0281      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.62e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.53e+03    |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0368     |
|    value_loss           | 3.23e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53.2     |
|    ep_rew_mean     | -284     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 36       |
|    time_elapsed    | 16187    |
|    total_timesteps | 4608     |
| train/             |          |
|    adaptive_beta   | 0.5      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.7        |
|    ep_rew_mean          | -285        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 37          |
|    time_elapsed         | 16445       |
|    total_timesteps      | 4736        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.014216745 |
|    clip_fraction        | 0.0633      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.44e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 718         |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0463     |
|    value_loss           | 1.83e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.9        |
|    ep_rew_mean          | -285        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 38          |
|    time_elapsed         | 16699       |
|    total_timesteps      | 4864        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.008393442 |
|    clip_fraction        | 0.0266      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -4.41e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12e+03    |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0321     |
|    value_loss           | 2.42e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.9        |
|    ep_rew_mean          | -285        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 39          |
|    time_elapsed         | 16992       |
|    total_timesteps      | 4992        |
| train/                  |             |
|    adaptive_beta        | 0.5         |
|    approx_kl            | 0.008657336 |
|    clip_fraction        | 0.0289      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.31e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 840         |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0371     |
|    value_loss           | 1.68e+03    |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 199          |
|    mean_reward          | -182         |
| time/                   |              |
|    total_timesteps      | 5120         |
| train/                  |              |
|    adaptive_beta        | 0.475        |
|    approx_kl            | 0.0054920935 |
|    clip_fraction        | 0.00625      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | 1.85e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.66e+03     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.0277      |
|    value_loss           | 3.28e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 54       |
|    ep_rew_mean     | -284     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 40       |
|    time_elapsed    | 18087    |
|    total_timesteps | 5120     |
| train/             |          |
|    adaptive_beta   | 0.475    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.3        |
|    ep_rew_mean          | -280        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 41          |
|    time_elapsed         | 18337       |
