time/iterations,train/adaptive_beta,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
28,0.5,1792,67.95,-235.57237185,0,17016,1.0,-1.1920928955078125e-07,27,3.206035614013672,0.0003,0.3910781741142273,446.22999572753906,,
29,0.5,1856,72.14285714285714,-241.04192614285716,0,17196,1.0,5.960464477539063e-08,28,1.8651503324508667,0.0003,0.4105904698371887,285.5618560791016,,
30,0.5,1920,72.14285714285714,-241.04192614285716,0,17388,1.0,-1.1920928955078125e-07,29,1.8475923538208008,0.0003,0.2861670255661011,145.08311157226564,,
31,0.5,1984,72.14285714285714,-241.04192614285716,0,17634,1.0,0.0,30,1.0328909158706665,0.0003,0.29934680461883545,208.8363494873047,,
,0.5,2048,,,,,1.0,-2.384185791015625e-07,31,1.0250279903411865,0.0003,0.40815091133117676,381.6971923828125,-421.0851692,400.0
32,0.5,2048,80.1304347826087,-247.82102473913042,0,20689,,,,,,,,,
33,0.5,2112,80.1304347826087,-247.82102473913042,0,20884,1.0,0.0,32,1.7380058765411377,0.0003,0.3741450309753418,130.72793273925782,,
34,0.5,2176,83.41666666666667,-250.37061041666666,0,21034,1.0,-1.1920928955078125e-07,33,1.246248722076416,0.0003,0.24987433850765228,187.72982940673828,,
35,0.5,2240,83.41666666666667,-250.37061041666666,0,21172,1.0,0.0,34,2.079833507537842,0.0003,0.2791439890861511,83.9620376586914,,
36,0.5,2304,83.41666666666667,-250.37061041666666,0,21323,1.0,1.1920928955078125e-07,35,1.5736507177352905,0.0003,0.2495899647474289,72.41566772460938,,
37,0.5,2368,83.41666666666667,-250.37061041666666,0,21453,1.0,0.0,36,0.8838262557983398,0.0003,0.2856942415237427,111.38203659057618,,
38,0.5,2432,83.41666666666667,-250.37061041666666,0,21612,1.0,0.0,37,7.063626289367676,0.0003,0.4991901218891144,95.24980239868164,,
39,0.5,2496,83.41666666666667,-250.37061041666666,0,21717,1.0,0.0,38,4.154143810272217,0.0003,0.3293285071849823,162.1160400390625,,
,0.5,2560,,,,,1.0,-1.1920928955078125e-07,39,1.8054136037826538,0.0003,0.37413525581359863,48.51988983154297,-307.6199126,400.0
40,0.5,2560,83.41666666666667,-250.37061041666666,0,24678,,,,,,,,,
41,0.5,2624,87.92,-253.05178984000003,0,24807,1.0,5.960464477539063e-08,40,0.6524631381034851,0.0003,0.24490126967430115,124.46904144287109,,
42,0.5,2688,87.92,-253.05178984000003,0,24966,1.0,0.0,41,2.782616138458252,0.0003,0.47086215019226074,74.441357421875,,
43,0.5,2752,91.23076923076923,-251.934057,0,25100,1.0,1.1920928955078125e-07,42,0.5772613286972046,0.0003,0.2485140860080719,68.25503311157226,,
44,0.5,2816,91.23076923076923,-251.934057,0,25229,1.0,-1.1920928955078125e-07,43,63.560733795166016,0.0003,0.3908517360687256,52.85265045166015,,
45,0.5,2880,91.23076923076923,-251.934057,0,25367,1.0,0.0,44,0.7520185708999634,0.0003,0.25524941086769104,61.682029724121094,,
46,0.5,2944,91.23076923076923,-251.934057,0,25528,1.0,-1.1920928955078125e-07,45,3.927596092224121,0.0003,0.4819995164871216,72.13735122680664,,
47,0.5,3008,96.66666666666667,-254.80641670370372,0,25669,1.0,0.0,46,1.8621196746826172,0.0003,0.29099005460739136,75.01411972045898,,
,0.5,3072,,,,,1.0,0.0,47,2.646557331085205,0.0003,0.45121753215789795,75.35675506591797,-248.08594279999997,400.0
48,0.5,3072,100.92857142857143,-254.80836314285716,0,28635,,,,,,,,,
49,0.5,3136,100.92857142857143,-254.80836314285716,0,28793,1.0,-1.1920928955078125e-07,48,5.332037925720215,0.0003,0.3066028952598572,69.29304428100586,,
50,0.5,3200,100.92857142857143,-254.80836314285716,0,28964,1.0,-1.1920928955078125e-07,49,0.8673243522644043,0.0003,0.23883545398712158,131.27445220947266,,
51,0.5,3264,100.92857142857143,-254.80836314285716,0,29094,1.0,0.0,50,0.6531758904457092,0.0003,0.28498727083206177,125.92226943969726,,
52,0.5,3328,100.92857142857143,-254.80836314285716,0,29205,1.0,-1.1920928955078125e-07,51,0.5314767956733704,0.0003,0.3309982120990753,65.2776107788086,,
53,0.5,3392,100.92857142857143,-254.80836314285716,0,29330,1.0,0.0,52,1.034723162651062,0.0003,0.36847877502441406,42.073309326171874,,
54,0.5,3456,100.92857142857143,-254.80836314285716,0,29442,1.0,1.1920928955078125e-07,53,0.7825139760971069,0.0003,0.28700315952301025,44.52385368347168,,
55,0.5,3520,100.92857142857143,-254.80836314285716,0,29565,1.0,-1.1920928955078125e-07,54,0.8739372491836548,0.0003,0.23572327196598053,37.91524314880371,,
,0.5,3584,,,,,1.0,5.960464477539063e-08,55,1.1945066452026367,0.0003,0.39760956168174744,52.78259506225586,-182.35718,400.0
56,0.5,3584,100.92857142857143,-254.80836314285716,0,32455,,,,,,,,,
57,0.5,3648,100.92857142857143,-254.80836314285716,0,32568,1.0,0.0,56,0.3484569787979126,0.0003,0.26750051975250244,33.85471687316895,,
58,0.5,3712,106.93103448275862,-256.05884686206895,0,32658,1.0,0.0,57,0.4281923770904541,0.0003,0.2653506398200989,28.362645530700682,,
59,0.5,3776,106.93103448275862,-256.05884686206895,0,32745,1.0,0.0,58,0.5110276341438293,0.0003,0.2232457399368286,28.377955436706543,,
60,0.5,3840,106.93103448275862,-256.05884686206895,0,32840,1.0,0.0,59,14.20184326171875,0.0003,0.28968560695648193,16.931870651245116,,
61,0.5,3904,113.1,-257.2356525,0,32940,1.0,0.0,60,0.12477415800094604,0.0003,0.45379069447517395,18.54473533630371,,
62,0.5,3968,113.1,-257.2356525,0,33034,1.0,0.0,61,1.1448760032653809,0.0003,0.4218311309814453,25.941247177124023,,
63,0.5,4032,113.1,-257.2356525,0,33136,1.0,0.0,62,0.3716823160648346,0.0003,0.24322697520256042,18.280438232421876,,
,0.5,4096,,,,,1.0,0.0,63,0.9075140953063965,0.0003,0.3036412000656128,20.537005615234374,-185.8658566,400.0
64,0.5,4096,113.1,-257.2356525,0,36044,,,,,,,,,
65,0.5,4160,113.1,-257.2356525,0,36176,1.0,0.0,64,0.4265362322330475,0.0003,0.3783677816390991,17.260285568237304,,
66,0.5,4224,119.38709677419355,-257.2160111935484,0,36301,1.0,-1.1920928955078125e-07,65,0.9793795943260193,0.0003,0.23604975640773773,38.32394905090332,,
67,0.5,4288,125.34375,-256.97266778125004,0,36401,1.0,0.0,66,0.5189065933227539,0.0003,0.23741793632507324,36.69276809692383,,
68,0.5,4352,125.34375,-256.97266778125004,0,36504,1.0,0.0,67,0.6117376685142517,0.0003,0.38427603244781494,27.006244087219237,,
69,0.5,4416,125.34375,-256.97266778125004,0,36625,1.0,0.0,68,0.3326306641101837,0.0003,0.10042104125022888,22.456539726257326,,
70,0.5,4480,125.34375,-256.97266778125004,0,36735,1.0,-1.1920928955078125e-07,69,0.2899148166179657,0.0003,0.16642829775810242,27.999152374267577,,
71,0.5,4544,125.34375,-256.97266778125004,0,36834,1.0,-1.1920928955078125e-07,70,0.2899656295776367,0.0003,0.32388466596603394,22.1860631942749,,
,0.5,4608,,,,,1.0,0.0,71,0.484147310256958,0.0003,0.26133185625076294,15.259608745574951,-184.0077526,400.0
72,0.5,4608,125.34375,-256.97266778125004,0,39740,,,,,,,,,
73,0.5,4672,125.34375,-256.97266778125004,0,39838,1.0,0.0,72,0.34098824858665466,0.0003,0.3827637732028961,13.478408050537109,,
74,0.5,4736,125.34375,-256.97266778125004,0,39940,1.0,0.0,73,0.29105573892593384,0.0003,0.2874658703804016,14.802531433105468,,
75,0.5,4800,125.34375,-256.97266778125004,0,40036,1.0,0.0,74,0.09598854184150696,0.0003,0.07895992696285248,16.334272956848146,,
76,0.5,4864,125.34375,-256.97266778125004,0,40127,1.0,0.0,75,0.24711784720420837,0.0003,0.21056991815567017,12.372817897796631,,
77,0.5,4928,125.34375,-256.97266778125004,0,40218,1.0,0.0,76,0.4188193082809448,0.0003,0.47792476415634155,11.104378700256348,,
78,0.5,4992,125.34375,-256.97266778125004,0,40308,1.0,0.0,77,0.18927378952503204,0.0003,0.3347945809364319,11.024467086791992,,
79,0.475,5056,125.34375,-256.97266778125004,0,40403,1.0,0.0,78,0.11733293533325195,0.0003,0.3337523937225342,11.018231773376465,,
