Logging to ./logs_PPO_0.01_baseline
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | -248        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 12          |
|    time_elapsed         | 7840        |
|    total_timesteps      | 768         |
| train/                  |             |
|    approx_kl            | 0.009226799 |
|    clip_fraction        | 0.0219      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 393         |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0377     |
|    value_loss           | 793         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | -257        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 13          |
|    time_elapsed         | 8170        |
|    total_timesteps      | 832         |
| train/                  |             |
|    approx_kl            | 0.009213571 |
|    clip_fraction        | 0.0219      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 468         |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.0372     |
|    value_loss           | 943         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | -273        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 14          |
|    time_elapsed         | 8562        |
|    total_timesteps      | 896         |
| train/                  |             |
|    approx_kl            | 0.011879311 |
|    clip_fraction        | 0.0672      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.2       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 286         |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0434     |
|    value_loss           | 577         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | -273        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 15          |
|    time_elapsed         | 8960        |
|    total_timesteps      | 960         |
| train/                  |             |
|    approx_kl            | 0.011848001 |
|    clip_fraction        | 0.0563      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 312         |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0474     |
|    value_loss           | 627         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 200         |
|    mean_reward          | -184        |
| time/                   |             |
|    total_timesteps      | 1024        |
| train/                  |             |
|    approx_kl            | 0.006678966 |
|    clip_fraction        | 0.0234      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0003      |
|    loss                 | 507         |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0358     |
|    value_loss           | 1.02e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 57.6     |
|    ep_rew_mean     | -273     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 16       |
|    time_elapsed    | 12043    |
|    total_timesteps | 1024     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.5        |
|    ep_rew_mean          | -280        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 17          |
|    time_elapsed         | 12422       |
|    total_timesteps      | 1088        |
| train/                  |             |
|    approx_kl            | 0.010574155 |
|    clip_fraction        | 0.0516      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 361         |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0411     |
|    value_loss           | 726         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.5        |
|    ep_rew_mean          | -280        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 18          |
|    time_elapsed         | 12768       |
|    total_timesteps      | 1152        |
| train/                  |             |
|    approx_kl            | 0.009285669 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.1       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 526         |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0343     |
|    value_loss           | 1.06e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.8         |
|    ep_rew_mean          | -286         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 19           |
|    time_elapsed         | 13047        |
|    total_timesteps      | 1216         |
| train/                  |              |
|    approx_kl            | 0.0051592477 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.1        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 396          |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.0252      |
|    value_loss           | 797          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.5        |
|    ep_rew_mean          | -293        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 20          |
|    time_elapsed         | 13387       |
|    total_timesteps      | 1280        |
| train/                  |             |
|    approx_kl            | 0.019144475 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10         |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 272         |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.05       |
|    value_loss           | 548         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.1        |
|    ep_rew_mean          | -298        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 21          |
|    time_elapsed         | 13681       |
|    total_timesteps      | 1344        |
| train/                  |             |
|    approx_kl            | 0.010530417 |
|    clip_fraction        | 0.0437      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.96       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 286         |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0364     |
|    value_loss           | 577         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.1        |
|    ep_rew_mean          | -298        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 22          |
|    time_elapsed         | 13983       |
|    total_timesteps      | 1408        |
| train/                  |             |
|    approx_kl            | 0.017948698 |
|    clip_fraction        | 0.0922      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.91       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 201         |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0539     |
|    value_loss           | 406         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.1        |
|    ep_rew_mean          | -298        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 23          |
|    time_elapsed         | 14274       |
|    total_timesteps      | 1472        |
| train/                  |             |
|    approx_kl            | 0.021898726 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.79       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 290         |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0581     |
|    value_loss           | 584         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 400         |
|    mean_reward          | -183        |
| time/                   |             |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.015252838 |
|    clip_fraction        | 0.0734      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.71       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 208         |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0464     |
|    value_loss           | 420         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 67.2     |
|    ep_rew_mean     | -293     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 24       |
|    time_elapsed    | 17364    |
|    total_timesteps | 1536     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 68.2       |
|    ep_rew_mean          | -290       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 25         |
|    time_elapsed         | 17602      |
|    total_timesteps      | 1600       |
| train/                  |            |
|    approx_kl            | 0.03271477 |
|    clip_fraction        | 0.172      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.56      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 131        |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0665    |
|    value_loss           | 265        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 71.5        |
|    ep_rew_mean          | -293        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 26          |
|    time_elapsed         | 17833       |
|    total_timesteps      | 1664        |
| train/                  |             |
|    approx_kl            | 0.018527184 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.44       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 87.2        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0599     |
|    value_loss           | 177         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.3       |
|    ep_rew_mean          | -290       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 27         |
|    time_elapsed         | 18072      |
|    total_timesteps      | 1728       |
| train/                  |            |
|    approx_kl            | 0.02827879 |
|    clip_fraction        | 0.163      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.43      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 93.7       |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0607    |
|    value_loss           | 190        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.3        |
|    ep_rew_mean          | -290        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 28          |
|    time_elapsed         | 18299       |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.021897698 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.3        |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 141         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0551     |
|    value_loss           | 286         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 72.3      |
|    ep_rew_mean          | -290      |
| time/                   |           |
|    fps                  | 0         |
|    iterations           | 29        |
|    time_elapsed         | 18521     |
|    total_timesteps      | 1856      |
| train/                  |           |
|    approx_kl            | 0.0308385 |
|    clip_fraction        | 0.177     |
|    clip_range           | 0.2       |
|    entropy_loss         | -9.23     |
|    explained_variance   | -1.19e-07 |
|    learning_rate        | 0.0003    |
|    loss                 | 96.7      |
|    n_updates            | 280       |
|    policy_gradient_loss | -0.0677   |
|    value_loss           | 196       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.3        |
|    ep_rew_mean          | -290        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 30          |
|    time_elapsed         | 18783       |
|    total_timesteps      | 1920        |
| train/                  |             |
|    approx_kl            | 0.016395954 |
|    clip_fraction        | 0.0813      |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.17       |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 83.7        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0504     |
|    value_loss           | 170         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 72.3       |
|    ep_rew_mean          | -290       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 31         |
|    time_elapsed         | 18974      |
|    total_timesteps      | 1984       |
| train/                  |            |
|    approx_kl            | 0.01536713 |
|    clip_fraction        | 0.0719     |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.1       |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 197        |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0449    |
|    value_loss           | 397        |
----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 400         |
|    mean_reward          | -184        |
| time/                   |             |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.025281565 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.99       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 88.5        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0644     |
|    value_loss           | 179         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 72.3     |
|    ep_rew_mean     | -290     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 32       |
|    time_elapsed    | 22040    |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.9        |
|    ep_rew_mean          | -290        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 33          |
|    time_elapsed         | 22247       |
|    total_timesteps      | 2112        |
| train/                  |             |
|    approx_kl            | 0.020967763 |
|    clip_fraction        | 0.0953      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.85       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 116         |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0618     |
|    value_loss           | 234         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 75.9        |
|    ep_rew_mean          | -290        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 34          |
|    time_elapsed         | 22444       |
|    total_timesteps      | 2176        |
| train/                  |             |
|    approx_kl            | 0.039487112 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.73       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 35.5        |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0728     |
|    value_loss           | 72.5        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 79.2       |
|    ep_rew_mean          | -291       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 35         |
|    time_elapsed         | 22664      |
|    total_timesteps      | 2240       |
| train/                  |            |
|    approx_kl            | 0.03676312 |
|    clip_fraction        | 0.23       |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.62      |
|    explained_variance   | -1.19e-07  |
|    learning_rate        | 0.0003     |
|    loss                 | 51.8       |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.056     |
|    value_loss           | 106        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.3        |
|    ep_rew_mean          | -290        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 36          |
|    time_elapsed         | 22852       |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.028057288 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.44       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 91.2        |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0615     |
|    value_loss           | 185         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 85.4       |
|    ep_rew_mean          | -291       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 37         |
|    time_elapsed         | 23022      |
|    total_timesteps      | 2368       |
| train/                  |            |
|    approx_kl            | 0.02848405 |
|    clip_fraction        | 0.144      |
|    clip_range           | 0.2        |
|    entropy_loss         | -8.31      |
|    explained_variance   | 0          |
|    learning_rate        | 0.0003     |
|    loss                 | 52.7       |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0665    |
|    value_loss           | 107        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 38          |
|    time_elapsed         | 23205       |
|    total_timesteps      | 2432        |
| train/                  |             |
|    approx_kl            | 0.039110675 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.39       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 24.5        |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0738     |
|    value_loss           | 50.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 39          |
|    time_elapsed         | 23381       |
|    total_timesteps      | 2496        |
| train/                  |             |
|    approx_kl            | 0.024425887 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.44       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 52.6        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0518     |
|    value_loss           | 107         |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 400         |
|    mean_reward          | -184        |
| time/                   |             |
|    total_timesteps      | 2560        |
| train/                  |             |
|    approx_kl            | 0.013451718 |
|    clip_fraction        | 0.0547      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.42       |
|    explained_variance   | -1.19e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 73.9        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0496     |
|    value_loss           | 150         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 85.4     |
|    ep_rew_mean     | -291     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 40       |
|    time_elapsed    | 26355    |
|    total_timesteps | 2560     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 41          |
|    time_elapsed         | 26515       |
|    total_timesteps      | 2624        |
| train/                  |             |
|    approx_kl            | 0.025055602 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 55.7        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0634     |
|    value_loss           | 113         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 42          |
|    time_elapsed         | 26672       |
|    total_timesteps      | 2688        |
| train/                  |             |
|    approx_kl            | 0.021403098 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.39       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 53          |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0646     |
|    value_loss           | 108         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 43          |
|    time_elapsed         | 26806       |
|    total_timesteps      | 2752        |
| train/                  |             |
|    approx_kl            | 0.016373124 |
|    clip_fraction        | 0.0703      |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.25       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 40.5        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0529     |
|    value_loss           | 82.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 44          |
|    time_elapsed         | 26959       |
|    total_timesteps      | 2816        |
| train/                  |             |
|    approx_kl            | 0.033447925 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.17       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 31.5        |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0751     |
|    value_loss           | 64.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 45          |
|    time_elapsed         | 27119       |
|    total_timesteps      | 2880        |
| train/                  |             |
|    approx_kl            | 0.019272793 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.1        |
|    explained_variance   | 1.19e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 39.7        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0517     |
|    value_loss           | 81.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 46          |
|    time_elapsed         | 27248       |
|    total_timesteps      | 2944        |
| train/                  |             |
|    approx_kl            | 0.024974179 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -7.98       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 38.6        |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.0611     |
|    value_loss           | 79          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.4        |
|    ep_rew_mean          | -291        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 47          |
