time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,rollout/ep_rew_mean,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
62,0,3968,48358,54.08571428571429,1.0,-1.1920928955078125e-07,61,0.0799182876944542,0.0003,-298.2215758142857,0.0006093553965911269,1817.6067993164063,,
63,0,4032,48850,54.40277777777778,1.0,0.0,62,0.07975870370864868,0.0003,-300.03868276388886,0.0004978665383532643,1476.5268920898438,,
,,4096,,,1.0,0.0,63,0.08428939431905746,0.0003,,0.0004731995868496597,1154.373291015625,-182.84752199999997,400.0
64,0,4096,52125,53.9041095890411,,,,,,-296.933224109589,,,,
65,0,4160,52596,54.30263157894737,1.0,0.0,64,0.08375242352485657,0.0003,-298.3939765,0.00048543186858296394,985.5170043945312,,
66,0,4224,53059,53.688311688311686,1.0,0.0,65,0.08563316613435745,0.0003,-294.77112233766235,0.00045533356023952365,760.9236694335938,,
67,0,4288,53537,53.688311688311686,1.0,-1.1920928955078125e-07,66,0.08630955964326859,0.0003,-294.77112233766235,0.00046239251969382167,1644.2636596679688,,
68,0,4352,53951,53.688311688311686,1.0,0.0,67,0.07712352275848389,0.0003,-294.77112233766235,0.000488602090626955,1908.2941284179688,,
69,0,4416,54400,54.12658227848101,1.0,-1.1920928955078125e-07,68,0.08010859042406082,0.0003,-296.59237584810126,0.0005110871279612184,1235.5807861328126,,
70,0,4480,54859,54.617283950617285,1.0,5.960464477539063e-08,69,0.07843472808599472,0.0003,-300.0140244320987,0.0004975614137947559,1137.2821899414062,,
71,0,4544,55262,54.617283950617285,1.0,5.960464477539063e-08,70,0.08786509931087494,0.0003,-300.0140244320987,0.0004991743480786681,1330.2697021484375,,
,,4608,,,1.0,0.0,71,0.08272616565227509,0.0003,,0.0004799137241207063,1170.1659912109376,-183.07438380000002,400.0
72,0,4608,58506,54.13253012048193,,,,,,-296.2967192168675,,,,
73,0,4672,58999,54.13253012048193,1.0,0.0,72,0.09213798493146896,0.0003,-296.2967192168675,0.0004901762586086988,848.0029968261719,,
74,0,4736,59425,53.747126436781606,1.0,-1.1920928955078125e-07,73,0.08506886661052704,0.0003,-293.444942954023,0.0005017683142796159,1775.690625,,
75,0,4800,59865,53.69318181818182,1.0,0.0,74,0.08281835913658142,0.0003,-293.00542309090906,0.0004529263824224472,644.887548828125,,
76,0,4864,60341,53.41573033707865,1.0,0.0,75,0.09193868935108185,0.0003,-291.3334481123595,0.0005003145197406411,1062.9482788085938,,
77,0,4928,60771,53.46666666666667,1.0,-1.1920928955078125e-07,76,0.09069505333900452,0.0003,-291.2875530444444,0.0004771211533807218,1512.2759765625,,
78,0,4992,61147,53.24175824175824,1.0,0.0,77,0.08328163623809814,0.0003,-289.7365060989011,0.0005086169112473726,1067.5254760742187,,
79,0,5056,61572,53.483870967741936,1.0,0.0,78,0.08509628474712372,0.0003,-290.4684918064516,0.0004331041418481618,1161.5903930664062,,
